iter	MultiClass
0	1.012276289
1	0.9449035651
2	0.8907032618
3	0.8460409924
4	0.8081571428
5	0.7758765602
6	0.7491703931
7	0.7257582597
8	0.7057221797
9	0.6886593424
10	0.6741852318
11	0.6608509549
12	0.6490856587
13	0.6394699045
14	0.6305185809
15	0.6229526938
16	0.615946601
17	0.6098593602
18	0.6045170782
19	0.5999720848
20	0.5957482706
21	0.5920600967
22	0.5887770705
23	0.5857811525
24	0.5830338253
25	0.5806147161
26	0.5784716438
27	0.5767347758
28	0.5749652039
29	0.5734744935
30	0.5720763078
31	0.5707650994
32	0.569932235
33	0.5688019434
34	0.5679041362
35	0.5670323732
36	0.5662596029
37	0.5655386904
38	0.5649612662
39	0.5641690062
40	0.5634156651
41	0.5629602213
42	0.5623501584
43	0.5618618201
44	0.5614515008
45	0.561151147
46	0.5607244048
47	0.560423057
48	0.5601883832
49	0.5598743044
50	0.559668156
51	0.5594010532
52	0.5591635744
53	0.5588980246
54	0.5588067535
55	0.5586623537
56	0.558480147
57	0.5582651916
58	0.5580653559
59	0.5579268218
60	0.557681411
61	0.5574619707
62	0.5572411414
63	0.5570046113
64	0.5568986139
65	0.5566290132
66	0.5564801841
67	0.5562905786
68	0.5561211823
69	0.5559386696
70	0.5556277725
71	0.5555194524
72	0.5553989689
73	0.5551483917
74	0.5549756096
75	0.5547678694
76	0.5546557701
77	0.5544689409
78	0.554305366
79	0.5541505224
80	0.5540254198
81	0.5538663811
82	0.5537432278
83	0.5535783325
84	0.5534766733
85	0.5533592391
86	0.5531524124
87	0.5530500378
88	0.5528865912
89	0.5527782705
90	0.5526647378
91	0.5525554028
92	0.5524978214
93	0.5523594662
94	0.552226558
95	0.5520589348
96	0.5518831747
97	0.5517536533
98	0.5515855567
99	0.5515000219
100	0.5513604267
101	0.5512882296
102	0.5511537146
103	0.5510664005
104	0.5509031573
105	0.55076314
106	0.5507081574
107	0.5505643072
108	0.5503758363
109	0.5502621795
110	0.5501715039
111	0.5500556051
112	0.5499624565
113	0.5498709043
114	0.5497474257
115	0.5495768352
116	0.5494615706
117	0.5493528685
118	0.5492602029
119	0.5491930318
120	0.5490644734
121	0.5490176831
122	0.5489337863
123	0.5488252303
124	0.5487408582
125	0.5486660529
126	0.5485348207
127	0.54840658
128	0.5482831097
129	0.5481880868
130	0.5480565182
131	0.547965698
132	0.5479058608
133	0.5478840732
134	0.547754984
135	0.5476918743
136	0.5475913986
137	0.5474613586
138	0.5473404859
139	0.5472280797
140	0.5471681254
141	0.5468118739
142	0.5467349176
143	0.5466457177
144	0.5465635926
145	0.5464586651
146	0.5463498674
147	0.5461986223
148	0.5461008704
149	0.5460144878
150	0.5459264721
151	0.5458251408
152	0.5457466972
153	0.5456680165
154	0.545603161
155	0.5455252324
156	0.5454356446
157	0.545325369
158	0.545184451
159	0.5450883093
160	0.5449112271
161	0.5448536063
162	0.5447758824
163	0.5446754586
164	0.5446096415
165	0.5445165002
166	0.5443796126
167	0.5442611982
168	0.5441772237
169	0.544104079
170	0.5439559103
171	0.5438389806
172	0.5437548471
173	0.5436916287
174	0.5435792681
175	0.5435580783
176	0.5434800922
177	0.5433474071
178	0.5432435563
179	0.5431394567
180	0.5430031268
181	0.5429210339
182	0.5428067405
183	0.5427003007
184	0.5425462897
185	0.5424418434
186	0.5423397894
187	0.5422399587
188	0.5421536406
189	0.5420730538
190	0.5420027983
191	0.5419228254
192	0.541864439
193	0.5417866514
194	0.541744346
195	0.5416511026
196	0.5415184463
197	0.5414362163
198	0.5413860304
199	0.5412849021
200	0.5412023209
201	0.5410670242
202	0.5410033936
203	0.5409072743
204	0.5407869829
205	0.5406820482
206	0.5406413526
207	0.5405682467
208	0.5405018294
209	0.540430816
210	0.5403384945
211	0.5402840853
212	0.540159229
213	0.5400511195
214	0.5398942623
215	0.5398155852
216	0.5397004321
217	0.5395979685
218	0.5394986608
219	0.5394433193
220	0.5394007422
221	0.5392546377
222	0.5391633922
223	0.5390730776
224	0.5390180315
225	0.5388405866
226	0.538729385
227	0.5386163292
228	0.5385390535
229	0.5384608999
230	0.5383809988
231	0.5382386416
232	0.5381865896
233	0.538079203
234	0.5380200403
235	0.5379576112
236	0.5378835181
237	0.53781344
238	0.537724074
239	0.5376471582
240	0.537557777
241	0.5374995194
242	0.5374282864
243	0.537329788
244	0.5372579416
245	0.5371666281
246	0.5371177774
247	0.5370498944
248	0.5369964956
249	0.5368897072
250	0.5368236319
251	0.5367581708
252	0.5367102715
253	0.536639945
254	0.5365670474
255	0.5364846194
256	0.5364090717
257	0.536327564
258	0.5362732827
259	0.5361813935
260	0.5361027971
261	0.5360412087
262	0.5359788208
263	0.5358976236
264	0.5357764739
265	0.5356905381
266	0.5355814868
267	0.5354970812
268	0.5353922
269	0.5352765257
270	0.5352100023
271	0.5350848602
272	0.5349987666
273	0.5349277918
274	0.5348262274
275	0.5347764432
276	0.5347062453
277	0.5346511577
278	0.5345854009
279	0.5345141779
280	0.5344084383
281	0.5342973376
282	0.5342505576
283	0.5341792856
284	0.5341149914
285	0.5340706764
286	0.5340080039
287	0.5339407949
288	0.5338568435
289	0.5338089262
290	0.5337510778
291	0.5336857722
292	0.5336277051
293	0.5336021335
294	0.5335167823
295	0.5334008365
296	0.5333522317
297	0.5332700662
298	0.5332087721
299	0.533110633
300	0.5330079612
301	0.5329239176
302	0.5328428689
303	0.5327658283
304	0.532688056
305	0.5326049699
306	0.5325105962
307	0.5324577721
308	0.5324090021
309	0.5323764892
310	0.5323215277
311	0.5322643101
312	0.5322126262
313	0.5321421951
314	0.5320873573
315	0.5320367717
316	0.5320012835
317	0.5319100271
318	0.5318217208
319	0.531752161
320	0.5316589385
321	0.531612049
322	0.5315564639
323	0.5315111404
324	0.5314401824
325	0.5313604887
326	0.5312675593
327	0.531199202
328	0.5311117035
329	0.5310393792
330	0.5309835714
331	0.5309350311
332	0.5308890027
333	0.5308391749
334	0.5307640378
335	0.5306856303
336	0.5306102472
337	0.5305525722
338	0.5305122507
339	0.5304317628
340	0.5303623681
341	0.5303029139
342	0.5302281268
343	0.5301912816
344	0.5301377615
345	0.5300569797
346	0.5299847186
347	0.5298898617
348	0.5298084942
349	0.5297392941
350	0.5296822924
351	0.5296344081
352	0.5295543193
353	0.5294947386
354	0.5293479109
355	0.5292530863
356	0.5292048731
357	0.5291730566
358	0.5291146205
359	0.5290688422
360	0.5289514658
361	0.5289029725
362	0.5288566692
363	0.528751789
364	0.5286878824
365	0.5286096016
366	0.5285457842
367	0.5284450752
368	0.5283858708
369	0.5282927513
370	0.5282065876
371	0.528123963
372	0.5280548344
373	0.5279430971
374	0.5278362835
375	0.5277965649
376	0.5277153635
377	0.5275880354
378	0.5275274633
379	0.5274696522
380	0.5273952807
381	0.5273396634
382	0.5273043848
383	0.5272289628
384	0.5271843589
385	0.5271344346
386	0.52703963
387	0.5269789394
388	0.526884977
389	0.5268286887
390	0.5267537848
391	0.5266849219
392	0.5266348999
393	0.5265477961
394	0.5264305613
395	0.5263506596
396	0.526291173
397	0.5262178124
398	0.5261426484
399	0.5260941833
400	0.5260688367
401	0.525998934
402	0.525933178
403	0.5258644973
404	0.5258011446
405	0.5257428014
406	0.5256939623
407	0.5254990384
408	0.5254416015
409	0.525344312
410	0.5252527765
411	0.5252051458
412	0.5251724393
413	0.5250917951
414	0.5250239473
415	0.5249689492
416	0.5248927243
417	0.5248419234
418	0.524787936
419	0.5246844898
420	0.5245981588
421	0.5245235174
422	0.5244497224
423	0.5243765636
424	0.5243160098
425	0.5242488122
426	0.524169411
427	0.5240979327
428	0.5240741289
429	0.5239795902
430	0.5239040432
431	0.5238069307
432	0.5237588752
433	0.5237236671
434	0.5236752023
435	0.5236113887
436	0.5235513439
437	0.5235098156
438	0.5234261669
439	0.5233452278
440	0.5232844446
441	0.5232261303
442	0.5231483276
443	0.5230988093
444	0.5230053659
445	0.5229460493
446	0.5228413652
447	0.5227812656
448	0.5227143891
449	0.522621274
450	0.5225702018
451	0.5225293688
452	0.5224402927
453	0.5223923823
454	0.5223433628
455	0.5222787857
456	0.5221933301
457	0.5220800986
458	0.5220261006
459	0.5219982752
460	0.521939217
461	0.5219008601
462	0.5218591776
463	0.5218096909
464	0.5217605056
465	0.521706212
466	0.5216584868
467	0.5215937516
468	0.5215190578
469	0.5214724245
470	0.5213887904
471	0.5213585661
472	0.5212823408
473	0.5212252938
474	0.5211663566
475	0.5211246925
476	0.5210713207
477	0.5209510698
478	0.5208757597
479	0.520833104
480	0.5207777035
481	0.520744789
482	0.5207262578
483	0.5206489243
484	0.5205979824
485	0.5205192182
486	0.5204670546
487	0.5204104545
488	0.5203615487
489	0.5202983793
490	0.5202068952
491	0.5201167482
492	0.5200362396
493	0.5199405234
494	0.5198900478
495	0.5198597325
496	0.5197905068
497	0.5196103491
498	0.5195437114
499	0.5194419281
500	0.5193428744
501	0.5192827766
502	0.519237163
503	0.5191568938
504	0.5190725251
505	0.5190214809
506	0.5189379021
507	0.5188701974
508	0.5187897882
509	0.5187180935
510	0.5186743542
511	0.5186431887
512	0.518602145
513	0.518543091
514	0.5184725063
515	0.5184465049
516	0.518375662
517	0.518326752
518	0.5182571678
519	0.5181992288
520	0.5181141469
521	0.5180597163
522	0.5180023519
523	0.5179402419
524	0.5178741203
525	0.5177986216
526	0.5177413315
527	0.5176391676
528	0.5175685982
529	0.5174890941
530	0.5174284484
531	0.5173881301
532	0.5173264997
533	0.5172458007
534	0.5171366215
535	0.5170681864
536	0.5170210414
537	0.5169506157
538	0.5168564092
539	0.5167937186
540	0.5167538727
541	0.5166838276
542	0.5166336052
543	0.5165957253
544	0.5165574731
545	0.5164890713
546	0.5164373167
547	0.5163672932
548	0.5163158482
549	0.5162616872
550	0.5161994672
551	0.5161213996
552	0.5160826764
553	0.5159890355
554	0.5159057702
555	0.5158545803
556	0.5158030488
557	0.5157462044
558	0.5156803551
559	0.5156091141
560	0.5155328877
561	0.5155079321
562	0.5154604847
563	0.5153962871
564	0.5153540851
565	0.5152771536
566	0.5152094571
567	0.5151317686
568	0.5150709707
569	0.5150170039
570	0.5149458544
571	0.5149155892
572	0.514872611
573	0.5148115981
574	0.5147634903
575	0.5147095853
576	0.5146295429
577	0.5145736153
578	0.5145444319
579	0.5145047029
580	0.5144480836
581	0.5144056
582	0.5143545399
583	0.5143090293
584	0.5142600367
585	0.5141604199
586	0.5140839565
587	0.5139579221
588	0.5139025828
589	0.5138551178
590	0.5138047867
591	0.5137296696
592	0.5136847791
593	0.5136136916
594	0.5135525767
595	0.5134988925
596	0.5134464766
597	0.5133865543
598	0.5132887767
599	0.5132408011
600	0.5131895029
601	0.5131153623
602	0.5130638143
603	0.5130306346
604	0.5129916896
605	0.5129425091
606	0.5128779421
607	0.512817645
608	0.5127566918
609	0.5126486012
610	0.512607383
611	0.5125558782
612	0.5124995936
613	0.512445832
614	0.512397337
615	0.5123821569
616	0.5123312819
617	0.5122946119
618	0.5122612686
619	0.5122178003
620	0.5121770486
621	0.5121298674
622	0.5120619151
623	0.5120079606
624	0.5119524265
625	0.5118698431
626	0.5117942317
627	0.5117297597
628	0.5116829951
629	0.5116077604
630	0.5115546406
631	0.5114863598
632	0.51144808
633	0.5113689562
634	0.5113218254
635	0.5112238529
636	0.5112031559
637	0.5111112409
638	0.5110859779
639	0.511033212
640	0.5109455599
641	0.510879069
642	0.5108106459
643	0.5107526079
644	0.5106911437
645	0.5106504575
646	0.5105890654
647	0.5105412675
648	0.5104448745
649	0.5103988783
650	0.5103425282
651	0.510293473
652	0.5102333838
653	0.5102025945
654	0.5100986682
655	0.5100372177
656	0.5099626503
657	0.5099343572
658	0.5098705425
659	0.5098078244
660	0.5097609065
661	0.5096778863
662	0.5096098224
663	0.5095572304
664	0.5094919402
665	0.5094363806
666	0.509401171
667	0.5093403649
668	0.5093077957
669	0.5092559107
670	0.5092181658
671	0.5091946414
672	0.5091783324
673	0.5091385441
674	0.5091023862
675	0.5090215703
676	0.5089754827
677	0.5088955682
678	0.508831144
679	0.5087730606
680	0.5087077528
681	0.5086599218
682	0.508596398
683	0.5085361502
684	0.5084859308
685	0.5084333691
686	0.5083774515
687	0.5082669026
688	0.5082131073
689	0.5081759811
690	0.5081312738
691	0.5080421356
692	0.5080001786
693	0.5079722265
694	0.5079129197
695	0.5078554415
696	0.5077908326
697	0.5077247857
698	0.5076281671
699	0.507587998
700	0.5075350179
701	0.507456726
702	0.5074067928
703	0.5073029204
704	0.5072552706
705	0.5071986107
706	0.507162398
707	0.5071028173
708	0.5070608216
709	0.5070159774
710	0.5069581569
711	0.506881084
712	0.5068122555
713	0.5067387324
714	0.5066433686
715	0.506605431
716	0.506524224
717	0.5064905855
718	0.5064201981
719	0.5064077944
720	0.5063480153
721	0.5062989462
722	0.506246754
723	0.5061711739
724	0.5061064591
725	0.5060458063
726	0.5059827464
727	0.5059302276
728	0.5058638416
729	0.5058130258
730	0.5057530568
731	0.5056883743
732	0.5056152553
733	0.505591354
734	0.505563464
735	0.5055047425
736	0.5054706301
737	0.5054407577
738	0.5053873914
739	0.5053341252
740	0.5052599419
741	0.5052187389
742	0.5051577903
743	0.5051085577
744	0.5050435314
745	0.5049931463
746	0.5049236688
747	0.5048769558
748	0.5048140264
749	0.504755401
750	0.5046909388
751	0.5046407526
752	0.5045743736
753	0.504519187
754	0.5044804974
755	0.504452838
756	0.5043945662
757	0.5043026212
758	0.5042794624
759	0.504222974
760	0.5041645078
761	0.5040909687
762	0.5040277395
763	0.5039585713
764	0.5039163142
765	0.5038541246
766	0.5037891208
767	0.5037356625
768	0.5036635596
769	0.5036138589
770	0.5035513994
771	0.5035135758
772	0.5034529562
773	0.5033630067
774	0.5033415382
775	0.5033112769
776	0.5032745789
777	0.5031802651
778	0.5031309269
779	0.5030717316
780	0.5030501763
781	0.5030082588
782	0.5029668694
783	0.502947325
784	0.5028814589
785	0.5027905839
786	0.5027663768
787	0.502709638
788	0.5026424281
789	0.5025838351
790	0.5025284603
791	0.5024926902
792	0.5024183137
793	0.5023372078
794	0.5022877295
