iter	Passed	Remaining
0	66	66828
1	72	36414
2	78	26188
3	85	21227
4	92	18320
5	97	16234
6	104	14849
7	110	13724
8	116	12823
9	122	12080
10	128	11515
11	133	11020
12	139	10592
13	145	10225
14	151	9920
15	157	9660
16	163	9452
17	169	9264
18	176	9091
19	182	8935
20	187	8754
21	194	8625
22	199	8475
23	205	8357
24	211	8254
25	217	8143
26	223	8047
27	228	7948
28	234	7854
29	240	7765
30	245	7682
31	251	7621
32	256	7525
33	264	7523
34	270	7453
35	276	7396
36	282	7341
37	288	7303
38	294	7260
39	301	7241
40	308	7210
41	314	7174
42	321	7146
43	327	7113
44	333	7082
45	339	7048
46	346	7026
47	353	7005
48	358	6956
49	364	6927
50	371	6912
51	377	6887
52	384	6870
53	390	6843
54	395	6791
55	401	6760
56	406	6728
57	412	6694
58	418	6670
59	424	6644
60	429	6613
61	434	6574
62	440	6558
63	446	6536
64	452	6512
65	458	6494
66	464	6473
67	470	6453
68	476	6429
69	482	6405
70	488	6397
71	494	6372
72	500	6354
73	507	6345
74	513	6330
75	519	6311
76	525	6302
77	531	6287
78	537	6266
79	543	6254
80	550	6243
81	556	6234
82	562	6216
83	568	6199
84	574	6186
85	581	6181
86	588	6171
87	594	6157
88	600	6146
89	606	6129
90	612	6116
91	617	6098
92	624	6085
93	629	6070
94	635	6053
95	641	6038
96	647	6027
97	654	6022
98	661	6023
99	667	6007
100	675	6010
101	681	6003
102	690	6009
103	698	6014
104	705	6016
105	712	6007
106	717	5988
107	725	5988
108	731	5980
109	737	5964
110	743	5953
111	750	5951
112	756	5938
113	763	5934
114	770	5925
115	776	5914
116	782	5902
117	788	5892
118	794	5880
119	802	5882
120	807	5869
121	812	5849
122	819	5841
123	824	5827
124	831	5819
125	837	5810
126	843	5800
127	851	5802
128	858	5797
129	865	5790
130	873	5792
131	880	5791
132	888	5790
133	894	5783
134	903	5786
135	909	5780
136	917	5777
137	925	5780
138	935	5794
139	943	5798
140	951	5793
141	958	5793
142	965	5786
143	972	5778
144	978	5771
145	985	5763
146	991	5756
147	999	5756
148	1006	5747
149	1012	5739
150	1019	5730
151	1026	5724
152	1032	5715
153	1038	5706
154	1044	5694
155	1051	5686
156	1058	5682
157	1065	5679
158	1072	5673
159	1079	5664
160	1086	5661
161	1092	5652
162	1099	5644
163	1105	5633
164	1111	5625
165	1117	5615
166	1125	5612
167	1133	5613
168	1141	5611
169	1149	5612
170	1157	5610
171	1165	5609
172	1175	5617
173	1183	5617
174	1193	5627
175	1201	5625
176	1209	5622
177	1218	5626
178	1225	5619
179	1232	5614
180	1239	5610
181	1245	5597
182	1251	5588
183	1257	5578
184	1264	5569
185	1270	5559
186	1276	5550
187	1283	5543
188	1290	5535
189	1295	5524
190	1301	5513
191	1307	5504
192	1313	5492
193	1319	5482
194	1325	5471
195	1330	5458
196	1336	5448
197	1343	5443
198	1349	5430
199	1355	5422
200	1361	5411
201	1367	5403
202	1374	5396
203	1381	5389
204	1388	5383
205	1394	5375
206	1401	5367
207	1407	5359
208	1413	5348
209	1419	5338
210	1424	5328
211	1430	5318
212	1436	5308
213	1443	5303
214	1450	5294
215	1456	5286
216	1463	5279
217	1470	5274
218	1477	5268
219	1483	5259
220	1489	5249
221	1495	5240
222	1502	5234
223	1509	5227
224	1515	5219
225	1522	5213
226	1529	5206
227	1535	5200
228	1542	5193
229	1548	5183
230	1555	5178
231	1562	5173
232	1568	5162
233	1574	5154
234	1581	5147
235	1588	5141
236	1594	5131
237	1599	5122
238	1606	5115
239	1613	5107
240	1618	5098
241	1624	5088
242	1630	5079
243	1636	5071
244	1642	5062
245	1648	5052
246	1654	5044
247	1660	5035
248	1666	5026
249	1672	5016
250	1678	5010
251	1687	5009
252	1693	5000
253	1699	4990
254	1705	4983
255	1712	4976
256	1718	4969
257	1725	4961
258	1730	4951
259	1737	4945
260	1744	4938
261	1750	4930
262	1756	4923
263	1762	4913
264	1769	4908
265	1775	4899
266	1781	4891
267	1789	4886
268	1795	4880
269	1803	4875
270	1808	4865
271	1814	4857
272	1821	4850
273	1827	4841
274	1833	4833
275	1840	4828
276	1847	4821
277	1853	4812
278	1859	4804
279	1864	4795
280	1872	4790
281	1878	4783
282	1884	4774
283	1889	4764
284	1895	4756
285	1901	4747
286	1907	4739
287	1913	4730
288	1920	4723
289	1925	4714
290	1932	4707
291	1937	4697
292	1943	4689
293	1948	4679
294	1954	4671
295	1960	4663
296	1966	4655
297	1972	4647
298	1979	4640
299	1985	4633
300	1991	4625
301	1998	4618
302	2004	4610
303	2009	4601
304	2015	4593
305	2021	4585
306	2027	4577
307	2033	4568
308	2039	4560
309	2044	4549
310	2050	4542
311	2056	4534
312	2062	4526
313	2069	4520
314	2076	4515
315	2082	4508
316	2089	4502
317	2095	4495
318	2102	4489
319	2109	4483
320	2116	4477
321	2121	4467
322	2128	4460
323	2134	4452
324	2140	4445
325	2146	4437
326	2152	4429
327	2159	4423
328	2165	4416
329	2170	4407
330	2176	4399
331	2183	4393
332	2189	4384
333	2195	4376
334	2201	4369
335	2206	4360
336	2212	4353
337	2219	4346
338	2224	4338
339	2230	4330
340	2236	4322
341	2243	4315
342	2250	4311
343	2256	4303
344	2263	4296
345	2269	4290
346	2276	4283
347	2282	4276
348	2288	4268
349	2293	4260
350	2300	4253
351	2305	4244
352	2311	4237
353	2317	4229
354	2323	4221
355	2330	4215
356	2336	4209
357	2342	4200
358	2348	4193
359	2353	4184
360	2359	4177
361	2366	4170
362	2373	4164
363	2378	4156
364	2384	4148
365	2391	4141
366	2397	4135
367	2403	4127
368	2409	4119
369	2416	4114
370	2422	4106
371	2428	4099
372	2434	4092
373	2440	4085
374	2448	4080
375	2453	4071
376	2459	4064
377	2466	4057
378	2472	4050
379	2477	4042
380	2484	4036
381	2489	4028
382	2495	4019
383	2500	4011
384	2506	4004
385	2512	3996
386	2518	3989
387	2524	3982
388	2531	3976
389	2537	3969
390	2542	3960
391	2549	3954
392	2555	3946
393	2561	3940
394	2568	3933
395	2574	3926
396	2580	3919
397	2586	3912
398	2592	3905
399	2598	3898
400	2603	3889
401	2610	3882
402	2616	3875
403	2622	3868
404	2629	3862
405	2634	3854
406	2639	3845
407	2647	3840
408	2652	3833
409	2658	3825
410	2665	3819
411	2670	3811
412	2676	3803
413	2681	3795
414	2687	3788
415	2694	3782
416	2701	3776
417	2707	3769
418	2714	3763
419	2720	3756
420	2726	3750
421	2734	3744
422	2739	3736
423	2745	3729
424	2751	3722
425	2757	3715
426	2763	3708
427	2769	3701
428	2775	3694
429	2782	3687
430	2788	3681
431	2795	3675
432	2800	3667
433	2806	3660
434	2812	3652
435	2819	3646
436	2824	3638
437	2830	3631
438	2836	3625
439	2843	3619
440	2850	3612
441	2855	3605
442	2861	3598
443	2868	3592
444	2875	3586
445	2883	3581
446	2889	3574
447	2895	3567
448	2901	3560
449	2907	3553
450	2912	3545
451	2919	3539
452	2926	3533
453	2931	3525
454	2937	3518
455	2943	3511
456	2950	3505
457	2956	3499
458	2963	3492
459	2968	3484
460	2974	3477
461	2979	3469
462	2985	3462
463	2990	3454
464	2996	3447
465	3002	3440
466	3008	3433
467	3014	3426
468	3020	3419
469	3026	3413
470	3032	3406
471	3038	3399
472	3044	3392
473	3050	3384
474	3055	3377
475	3061	3369
476	3066	3362
477	3072	3355
478	3079	3349
479	3085	3342
480	3093	3337
481	3099	3330
482	3103	3322
483	3110	3315
484	3116	3309
485	3122	3302
486	3128	3295
487	3134	3288
488	3139	3281
489	3146	3275
490	3152	3268
491	3158	3261
492	3165	3254
493	3171	3248
494	3176	3241
495	3182	3233
496	3187	3226
497	3194	3220
498	3200	3213
499	3206	3206
500	3212	3199
501	3218	3192
502	3224	3186
503	3231	3179
504	3236	3172
505	3242	3165
506	3248	3159
507	3254	3152
508	3260	3145
509	3266	3138
510	3273	3132
511	3279	3125
512	3284	3118
513	3291	3112
514	3298	3106
515	3304	3099
516	3310	3092
517	3315	3085
518	3322	3079
519	3328	3072
520	3335	3066
521	3342	3060
522	3349	3054
523	3355	3048
524	3361	3041
525	3367	3034
526	3373	3027
527	3379	3021
528	3386	3014
529	3393	3009
530	3399	3002
531	3405	2996
532	3412	2989
533	3418	2983
534	3424	2976
535	3430	2969
536	3435	2962
537	3442	2955
538	3448	2949
539	3454	2942
540	3460	2936
541	3467	2930
542	3474	2924
543	3480	2917
544	3487	2911
545	3493	2904
546	3499	2897
547	3506	2892
548	3512	2885
549	3519	2879
550	3525	2872
551	3531	2866
552	3537	2859
553	3543	2853
554	3549	2846
555	3555	2839
556	3561	2832
557	3566	2825
558	3573	2818
559	3580	2812
560	3587	2807
561	3592	2800
562	3598	2793
563	3605	2787
564	3612	2781
565	3618	2774
566	3624	2768
567	3632	2762
568	3638	2755
569	3645	2750
570	3652	2744
571	3658	2737
572	3664	2731
573	3672	2725
574	3678	2718
575	3684	2712
576	3691	2706
577	3697	2699
578	3703	2692
579	3708	2685
580	3714	2678
581	3721	2672
582	3726	2665
583	3732	2658
584	3738	2651
585	3744	2645
586	3750	2638
587	3756	2632
588	3763	2626
589	3769	2619
590	3775	2612
591	3781	2606
592	3788	2599
593	3794	2593
594	3799	2586
595	3806	2580
596	3812	2573
597	3818	2566
598	3824	2560
599	3830	2553
600	3836	2547
601	3843	2540
602	3848	2533
603	3854	2527
604	3861	2520
605	3867	2514
606	3873	2507
607	3878	2500
608	3885	2494
609	3891	2488
610	3896	2481
611	3903	2474
612	3908	2467
613	3915	2461
614	3921	2454
615	3926	2447
616	3931	2440
617	3937	2433
618	3943	2427
619	3949	2420
620	3956	2414
621	3963	2408
622	3969	2401
623	3975	2395
624	3981	2389
625	3988	2383
626	3995	2376
627	4001	2370
628	4006	2362
629	4012	2356
630	4019	2350
631	4025	2343
632	4031	2337
633	4037	2330
634	4043	2324
635	4049	2317
636	4054	2310
637	4060	2304
638	4066	2297
639	4072	2290
640	4078	2284
641	4085	2278
642	4091	2271
643	4097	2264
644	4103	2258
645	4109	2251
646	4114	2245
647	4120	2238
648	4126	2231
649	4132	2225
650	4138	2218
651	4144	2211
652	4150	2205
653	4155	2198
654	4162	2192
655	4169	2186
656	4175	2179
657	4181	2173
658	4187	2166
659	4193	2160
660	4199	2153
661	4206	2147
662	4212	2141
663	4218	2134
664	4223	2127
665	4230	2121
666	4235	2114
667	4241	2108
668	4247	2101
669	4253	2094
670	4259	2088
671	4264	2081
672	4270	2074
673	4275	2067
